Authors	Record Count	% of 1.857
Dissanayake I	1	0.054
Divakar SM	1	0.054
Diwaker C	1	0.054
Dixit P	1	0.054
Djeldjelia Y	1	0.054
Djouani K	1	0.054
Dogaru DI	1	0.054
Dominic PDD	1	0.054
Dong JJ	1	0.054
Dong LF	1	0.054
Dong M	1	0.054
Dong MX	1	0.054
Dong SG	1	0.054
Dong W	1	0.054
Dong WW	1	0.054
Dong YQ	1	0.054
Donoso Y	1	0.054
Doostizadeh M	1	0.054
Dos Santos ALM	1	0.054
Dos Santos FF	1	0.054
Dos Santos RR	1	0.054
Doshi F	1	0.054
Doustmohammadi A	1	0.054
Downar TJ	1	0.054
Downs NJ	1	0.054
Draghetti L	1	0.054
Draghici R	1	0.054
Drame A	1	0.054
Drias Z	1	0.054
Drira K	1	0.054
Du CQ	1	0.054
Du JX	1	0.054
Du L	1	0.054
Du MA	1	0.054
Du NH	1	0.054
Du Q	1	0.054
Duan FW	1	0.054
Duan JJ	1	0.054
Duan WQ	1	0.054
Duan YZ	1	0.054
Duarte AMD	1	0.054
Dubois MA	1	0.054
Dudley-mcevoy S	1	0.054
Dumitrache I	1	0.054
Dumitru CD	1	0.054
Duque N	1	0.054
Dutta AK	1	0.054
Dutta C	1	0.054
Dutta H	1	0.054
Dutta K	1	0.054
Dutta RG	1	0.054
Dutta S	1	0.054
Dvorkin Y	1	0.054
Dwivedi Y	1	0.054
Dysko A	1	0.054
Dzitac S	1	0.054
Domínguez R	1	0.054
Domínguez-garcía JL	1	0.054
Dán G	1	0.054
E SJ	1	0.054
Eassa FE	1	0.054
Edgar T	1	0.054
Edwards M	1	0.054
Efatinasab E	1	0.054
Eftathopoulos G	1	0.054
Eftekharnejad S	1	0.054
Egido I	1	0.054
Eid MM	1	0.054
Eigner O	1	0.054
Ekici S	1	0.054
El Abbassi I	1	0.054
El Bakkali H	1	0.054
El Barkany A	1	0.054
El Bazi N	1	0.054
El Chamie M	1	0.054
El Ghazi H	1	0.054
El Haffar A	1	0.054
El Hibaoui A	1	0.054
El Kamoun N	1	0.054
El Maghraoui A	1	0.054
El Majdoubi D	1	0.054
El Mrabet Z	1	0.054
El-alfy ESM	1	0.054
El-aziz RMA	1	0.054
El-fishawy NA	1	0.054
El-hajj AM	1	0.054
El-kenawy EM	1	0.054
El-maddah IAM	1	0.054
El-shahat A	1	0.054
Elasser A	1	0.054
Elavarasan RM	1	0.054
Eldefrawy M	1	0.054
Elena JM	1	0.054
Elfarouk O	1	0.054
Elhoseny M	1	0.054
Elizondo-gonzalez S	1	0.054
Elkamchouchi DH	1	0.054
Elkamoun N	1	0.054
Elliott ED	1	0.054
Elmannai H	1	0.054
Elmasry W	1	0.054
Elmouatamid A	1	0.054
Elmoudi R	1	0.054
Elovici Y	1	0.054
Elrawy MF	1	0.054
Elsayed AA	1	0.054
Elsayed AAE	1	0.054
Elsisi M	1	0.054
Eltawil AB	1	0.054
Endoh T	1	0.054
Engel T	1	0.054
Enyedi S	1	0.054
Erbad A	1	0.054
Erdeljan A	1	0.054
Erdem H	1	0.054
Erdem OA	1	0.054
Eren ME	1	0.054
Ergun H	1	0.054
Eribez K	1	0.054
Erlich I	1	0.054
Erol-kantarci M	1	0.054
Ertunc K	1	0.054
Escobar JJM	1	0.054
Esenogho E	1	0.054
Esfahani MM	1	0.054
Esfahani PM	1	0.054
Esfandiari Y	1	0.054
Eskandarpour R	1	0.054
Espinosa HQ	1	0.054
Esteves P	1	0.054
Etezadifar M	1	0.054
Etigowni S	1	0.054
Ewald R	1	0.054
Ezekiel VU	1	0.054
Ezhilarasi P	1	0.054
Ezquerra J	1	0.054
Encalada-dávila A	1	0.054
Ergül O	1	0.054
Estopiñan AL	1	0.054
Fachkha C	1	0.054
Faddel S	1	0.054
Fadhil M	1	0.054
Fadlullah ZM	1	0.054
Fael P	1	0.054
Faeraas E	1	0.054
Fagioli A	1	0.054
Fahey R	1	0.054
Fakhar A	1	0.054
Falchuk B	1	0.054
Fan FF	1	0.054
Fan L	1	0.054
Fan LP	1	0.054
Fan R	1	0.054
Fan XH	1	0.054
Fan XN	1	0.054
Fan YC	1	0.054
Fan ZZ	1	0.054
Fandi G	1	0.054
Fang HL	1	0.054
Fang HN	1	0.054
Fang M	1	0.054
Fang SC	1	0.054
Fang SX	1	0.054
Fang X	1	0.054
Fang YG	1	0.054
Fang YP	1	0.054
Fang ZW	1	0.054
Fanibhare V	1	0.054
Farah MB	1	0.054
Farajzadeh-zanjani M	1	0.054
Faramondi L	1	0.054
Farh HMH	1	0.054
Farhaoui Y	1	0.054
Faria J	1	0.054
Farias FC	1	0.054
Farid MA	1	0.054
Farivar F	1	0.054
Farnell C	1	0.054
Farouk A	1	0.054
Farrokhabadi M	1	0.054
Farshad M	1	0.054
Faruque MO	1	0.054
Faulstich S	1	0.054
Fausto A	1	0.054
Fazal MR	1	0.054
Feinerman O	1	0.054
Feng C	1	0.054
Feng HT	1	0.054
Feng SM	1	0.054
Feng XL	1	0.054
Feng XM	1	0.054
Fensel A	1	0.054
Fernandes R	1	0.054
Fernandez E	1	0.054
Ferragut EM	1	0.054
Ferrari P	1	0.054
Ferraro M	1	0.054
Ferraz FC	1	0.054
Ferris D	1	0.054
Feyisa DW	1	0.054
Fida K	1	0.054
Fidge C	1	0.054
Figueiredo I	1	0.054
Figueiredo J	1	0.054
Fihri WF	1	0.054
Filik B	1	0.054
Fiore U	1	0.054
Firat M	1	0.054
Flammini F	1	0.054
Flavio ML	1	0.054
Fleury M	1	0.054
Fleyeh H	1	0.054
Flores MAL	1	0.054
Flores R	1	0.054
Flores-quintero RR	1	0.054
Florez-lozano J	1	0.054
Flynn D	1	0.054
Fofana I	1	0.054
Foiadelli F	1	0.054
Foley AM	1	0.054
Folgado FJ	1	0.054
Fomina A	1	0.054
Foresti GL	1	0.054
Foroutan SA	1	0.054
Fortoul-diaz JA	1	0.054
Foschini L	1	0.054
Fouliras P	1	0.054
Fountoukidis E	1	0.054
Fraccaroli E	1	0.054
Fraga D	1	0.054
Fragkos G	1	0.054
Franca IA	1	0.054
Franchi CM	1	0.054
Francia GA	1	0.054
Francis C	1	0.054
Francois B	1	0.054
Fraunholz D	1	0.054
Freihaut J	1	0.054
Freihaut JD	1	0.054
Freitag M	1	0.054
Freitas GC	1	0.054
Freris NM	1	0.054
Friha O	1	0.054
Frincu ME	1	0.054
Fruett F	1	0.054
Fry A	1	0.054
Fu JQ	1	0.054
Fu LC	1	0.054
Fu Q	1	0.054
Fu W	1	0.054
Fu XQ	1	0.054
Fu XW	1	0.054
Fu Y	1	0.054
Fu Z	1	0.054
Fu ZC	1	0.054
Fu ZH	1	0.054
Fu ZY	1	0.054
Fuhr PL	1	0.054
Fujdiak R	1	0.054
Fuller JC	1	0.054
Fummi F	1	0.054
Fung B	1	0.054
Fornás JG	1	0.054
Forsström S	1	0.054
Gabriel T	1	0.054
Gadsden SA	1	0.054
Gaggero M	1	0.054
Gagne I	1	0.054
Gagnon S	1	0.054
Gajanur NR	1	0.054
Gajowniczek K	1	0.054
Galarza A	1	0.054
Galceran-arellano S	1	0.054
Gallardo JL	1	0.054
Gallego F	1	0.054
Gama F	1	0.054
Gamage KAA	1	0.054
Gamess E	1	0.054
Gan JX	1	0.054
Gan TH	1	0.054
Ganesh HBB	1	0.054
Ganesh P	1	0.054
Ganesh SS	1	0.054
Gangduan	1	0.054
Gangodkar D	1	0.054
Gao BB	1	0.054
Gao BT	1	0.054
Gao DH	1	0.054
Gao DWZ	1	0.054
Gao H	1	0.054
Gao JL	1	0.054
Gao JX	1	0.054
Gao LX	1	0.054
Gao M	1	0.054
Gao MJ	1	0.054
Gao PH	1	0.054
Gao Q	1	0.054
Gao R	1	0.054
Gao SB	1	0.054
Gao TL	1	0.054
Gao XH	1	0.054
Gao XZ	1	0.054
Gao YY	1	0.054
Garba M	1	0.054
Garcia HE	1	0.054
Gardezi AA	1	0.054
Garg D	1	0.054
Garg N	1	0.054
Garg S	1	0.054
Garibaldi L	1	0.054
Garitselov O	1	0.054
Garlin I	1	0.054
Garrido AJ	1	0.054
Garrido D	1	0.054
Garrido I	1	0.054
Gasiorek D	1	0.054
Gaspar PD	1	0.054
Gasteratos A	1	0.054
Gatsis N	1	0.054
Gaur R	1	0.054
Gautam M	1	0.054
Gawanmeh A	1	0.054
Gayathri M	1	0.054
Gazi MSA	1	0.054
Gazzan M	1	0.054
Ge MZ	1	0.054
Ge QY	1	0.054
Ge X	1	0.054
Ge YLR	1	0.054
Gebresilassie SK	1	0.054
Geetha BT	1	0.054
Geetha M	1	0.054
Gehlen C	1	0.054
Gehlot A	1	0.054
Gehrke O	1	0.054
Gelani HE	1	0.054
Gellert A	1	0.054
Gemeda DB	1	0.054
Geng CC	1	0.054
Geng H	1	0.054
Genge B	1	0.054
Gerasopoulos SI	1	0.054
Gerwinn S	1	0.054
Gezer D	1	0.054
Ghalib M	1	0.054
Ghanimi HMA	1	0.054
Gharehpetian GB	1	0.054
Gharipour A	1	0.054
Ghasemi AA	1	0.054
Ghasemkhani B	1	0.054
Ghayvat H	1	0.054
Ghazi Z	1	0.054
Ghennioui A	1	0.054
Ghiani E	1	0.054
Ghimire S	1	0.054
Ghosh A	1	0.054
Ghosh B	1	0.054
Ghosh U	1	0.054
Giakoumis D	1	0.054
Gialluca GT	1	0.054
Giani A	1	0.054
Giannakoulias A	1	0.054
Gibadullin RF	1	0.054
Gidlund M	1	0.054
Giglio E	1	0.054
Gil M	1	0.054
Gilkar GA	1	0.054
Ginhac D	1	0.054
Girdhar M	1	0.054
Gitizadeh M	1	0.054
Giudicianni C	1	0.054
Gjorgiev B	1	0.054
Glasser U	1	0.054
Glauner P	1	0.054
Glazunova AM	1	0.054
Gligor A	1	0.054
Glomb S	1	0.054
Gluck T	1	0.054
Gnanasekaran S	1	0.054
Goh HH	1	0.054
Goh WL	1	0.054
Golcarenarenji G	1	0.054
Gold K	1	0.054
Golobardes E	1	0.054
Golub B	1	0.054
Gomes L	1	0.054
Goncalves M	1	0.054
Gong HX	1	0.054
Gong Q	1	0.054
Gong S	1	0.054
Gong SM	1	0.054
Gong XD	1	0.054
Gong XY	1	0.054
Gong YY	1	0.054
Gongora M	1	0.054
Gonzalez J	1	0.054
Gonzalez L	1	0.054
Gonzalez-cruz JE	1	0.054
Gopakumar P	1	0.054
Gopalakrishnan EA	1	0.054
Gopalan SP	1	0.054
Gorantla KR	1	0.054
Goswami RT	1	0.054
Goudarzi S	1	0.054
Goudos S	1	0.054
Gougheri SS	1	0.054
Goulart A	1	0.054
Gouromichos H	1	0.054
Grant RH	1	0.054
Grau I	1	0.054
Grebeniuk S	1	0.054
Green RC	1	0.054
Green TC	1	0.054
Greidanus MDR	1	0.054
Greulich A	1	0.054
Griffiths KA	1	0.054
Grijalva S	1	0.054
Grimm S	1	0.054
Grobler M	1	0.054
Gronba-chyla A	1	0.054
Gross J	1	0.054
Gross PN	1	0.054
Grundy J	1	0.054
Gu JS	1	0.054
Gu SL	1	0.054
Gu XP	1	0.054
Gu YQ	1	0.054
Guan DJ	1	0.054
Guan H	1	0.054
Guan L	1	0.054
Guan XP	1	0.054
Guan YM	1	0.054
Guan YR	1	0.054
Guarino S	1	0.054
Guddanti KP	1	0.054
Gueaieb W	1	0.054
Guennouni N	1	0.054
Guerraiche K	1	0.054
Guerrero-prado JS	1	0.054
Guha D	1	0.054
Guimaraes LCB	1	0.054
Guizani M	1	0.054
Gul H	1	0.054
Guler M	1	0.054
Guler O	1	0.054
Gulfam SM	1	0.054
Gunawardane K	1	0.054
Gundall M	1	0.054
Gunduz MZ	1	0.054
Gunter CA	1	0.054
Gunturi SK	1	0.054
Guo BJ	1	0.054
Guo BX	1	0.054
Guo CJ	1	0.054
Guo CX	1	0.054
Guo D	1	0.054
Guo F	1	0.054
Guo H	1	0.054
Guo HQ	1	0.054
Guo HS	1	0.054
Guo LQ	1	0.054
Guo M	1	0.054
Guo MJ	1	0.054
Guo NW	1	0.054
Guo PQ	1	0.054
Guo QL	1	0.054
Guo RZ	1	0.054
Guo S	1	0.054
Guo WX	1	0.054
Guo X	1	0.054
Guo XL	1	0.054
Guo YJ	1	0.054
Guo YP	1	0.054
Guo ZM	1	0.054
Guo ZQ	1	0.054
Gupta AK	1	0.054
Gupta BB	1	0.054
Gupta CP	1	0.054
Gupta D	1	0.054
Gupta G	1	0.054
Gupta L	1	0.054
Gupta P	1	0.054
Gutierrez B	1	0.054
Gutierrez JA	1	0.054
Gwiazdowicz M	1	0.054
Gabaldón E	1	0.054
García A	1	0.054
García CE	1	0.054
García Díaz V	1	0.054
Garduño-aparicio M	1	0.054
Giraldo-gómez WD	1	0.054
Glässer U	1	0.054
Golpîra H	1	0.054
González A	1	0.054
González I	1	0.054
González LG	1	0.054
González LP	1	0.054
Gonçalves J	1	0.054
Gracia-morán J	1	0.054
Guerrero-sánchez AE	1	0.054
Gónzalez-córdoba JL	1	0.054
Göl M	1	0.054
Gönen S	1	0.054
Götzinger M	1	0.054
Gück C	1	0.054
Güngör M	1	0.054
Güzelyol TE	1	0.054
Ha D	1	0.054
Haase J	1	0.054
Habault G	1	0.054
Habbak H	1	0.054
Habib AKMA	1	0.054
Hacker I	1	0.054
Haddad K	1	0.054
Hadjidemetriou L	1	0.054
Hadjouni M	1	0.054
Haeri MA	1	0.054
Haghighi MS	1	0.054
Hai XT	1	0.054
Haidar AM	1	0.054
Haidar AMA	1	0.054
Haider A	1	0.054
Haider S	1	0.054
Haider SA	1	0.054
Haider ZM	1	0.054
Hailes S	1	0.054
Hajda J	1	0.054
Hajian A	1	0.054
Hakim MSS	1	0.054
Halgamuge SK	1	0.054
Halim ITA	1	0.054
Haller P	1	0.054
Ham JW	1	0.054
Hamedani K	1	0.054
Hameed IA	1	0.054
Hameed SA	1	0.054
Hammoumi KE	1	0.054
Hamza AA	1	0.054
Hamza MA	1	0.054
Han GL	1	0.054
Han HG	1	0.054
Han HZ	1	0.054
Han JR	1	0.054
Han LF	1	0.054
Han WY	1	0.054
Han XK	1	0.054
Han YH	1	0.054
Han Z	1	0.054
Haner M	1	0.054
Haney MA	1	0.054
Hangan A	1	0.054
Hanna A	1	0.054
Hao DZ	1	0.054
Hao JB	1	0.054
Hao K	1	0.054
Hao SM	1	0.054
Hao WJ	1	0.054
Haominchen	1	0.054
Haq EU	1	0.054
Haque A	1	0.054
Haque ME	1	0.054
Harley RG	1	0.054
Harrabi A	1	0.054
Harraz FA	1	0.054
Harvey P	1	0.054
Hasan K	1	0.054
Hasan SR	1	0.054
Hashemi-dezaki H	1	0.054
Hashim AHA	1	0.054
Hashimoto H	1	0.054
Hassam-ouari K	1	0.054
Hassan A	1	0.054
Hassan MA	1	0.054
Hassan MF	1	0.054
Hassan MR	1	0.054
Hassani H	1	0.054
Hatalis K	1	0.054
Hatcher WG	1	0.054
Hatkar S	1	0.054
Hatziadoniu CJ	1	0.054
Hauer D	1	0.054
Hawash H	1	0.054
Hayashi H	1	0.054
Hayat MM	1	0.054
He DJ	1	0.054
He GY	1	0.054
He H	1	0.054
He HH	1	0.054
He J	1	0.054
He JH	1	0.054
He K	1	0.054
He LN	1	0.054
He M	1	0.054
He QB	1	0.054
He QS	1	0.054
He S	1	0.054
He W	1	0.054
He XF	1	0.054
He YX	1	0.054
He ZZ	1	0.054
Hefton L	1	0.054
Hei JX	1	0.054
Helbing D	1	0.054
Helsen J	1	0.054
Hemanth DJ	1	0.054
Hemdan EE	1	0.054
Hemminger TL	1	0.054
Heng F	1	0.054
Henry EU	1	0.054
Henze M	1	0.054
Heo K	1	0.054
Hermosillo JAM	1	0.054
Hernandez AS	1	0.054
Hernandez-rivera S	1	0.054
Herrera F	1	0.054
Herrera M	1	0.054
Herrero A	1	0.054
Hesamzadeh MR	1	0.054
Heussen K	1	0.054
Hew SF	1	0.054
Hewage K	1	0.054
Hija FA	1	0.054
Hilal W	1	0.054
Hill DJ	1	0.054
Hingos D	1	0.054
Hink RCB	1	0.054
Hirano A	1	0.054
Hirata Y	1	0.054
Ho SY	1	0.054
Ho TK	1	0.054
Hoang NV	1	0.054
Hoang NX	1	0.054
Hoang TN	1	0.054
Hodo E	1	0.054
Hoffmann R	1	0.054
Hoi SCH	1	0.054
Holasova E	1	0.054
Holm-nielsen JB	1	0.054
Holme J	1	0.054
Hong B	1	0.054
Hong DNW	1	0.054
Hong J	1	0.054
Hong SH	1	0.054
Hong T	1	0.054
Hong TQ	1	0.054
Hong WC	1	0.054
Hong YG	1	0.054
Hongesombut K	1	0.054
Horchulhack P	1	0.054
Hordiichuk-bublivska O	1	0.054
Horodyvskyy S	1	0.054
Horvath K	1	0.054
Hossain E	1	0.054
Hossain F	1	0.054
Hossain MA	1	0.054
Hossain MM	1	0.054
Hossein M	1	0.054
Hosseini SH	1	0.054
Hosseinzadeh N	1	0.054
Hou HY	1	0.054
Hou SJ	1	0.054
Hou W	1	0.054
Hou XL	1	0.054
Hou ZW	1	0.054
Houmb SH	1	0.054
Housh M	1	0.054
Hseiki HA	1	0.054
Hsieh TY	1	0.054
Hsiung PA	1	0.054
Hsu JY	1	0.054
Hu BJ	1	0.054
Hu C	1	0.054
Hu D	1	0.054
Hu FF	1	0.054
Hu JQ	1	0.054
Hu JW	1	0.054
Hu JZ	1	0.054
Hu KY	1	0.054
Hu PF	1	0.054
Hu QR	1	0.054
Hu SY	1	0.054
Hu WJ	1	0.054
Hu WY	1	0.054
Hu XD	1	0.054
Hu YD	1	0.054
Hu YF	1	0.054
Hu ZJ	1	0.054
Huang A	1	0.054
Huang AD	1	0.054
Huang BG	1	0.054
Huang DR	1	0.054
Huang G	1	0.054
Huang HY	1	0.054
Huang JF	1	0.054
Huang KP	1	0.054
Huang KX	1	0.054
Huang M	1	0.054
Huang MY	1	0.054
Huang P	1	0.054
Huang QJ	1	0.054
Huang R	1	0.054
Huang S	1	0.054
Huang SW	1	0.054
Huang WF	1	0.054
Huang XH	1	0.054
Huang XJ	1	0.054
Huang YH	1	0.054
Huang ZD	1	0.054
Huang ZG	1	0.054
Huang ZH	1	0.054
Huh JH	1	0.054
Hui XL	1	0.054
Huijbregts MAJ	1	0.054
Huma ZE	1	0.054
Humayun M	1	0.054
Hung HE	1	0.054
Hunt J	1	0.054
Huo WD	1	0.054
Huong TT	1	0.054
Hur S	1	0.054
Husain S	1	0.054
Husev O	1	0.054
Husnoo MA	1	0.054
Hussain AST	1	0.054
Hussain ZS	1	0.054
Hussein YS	1	0.054
Hwang B	1	0.054
Hwang E	1	0.054
Hyder B	1	0.054
Hykkerud A	1	0.054
Hylli O	1	0.054
Heikkilä V	1	0.054
Hernández A	1	0.054
Hernández L	1	0.054
Hernández-callejo L	1	0.054
Hildén A	1	0.054
Hyyppä J	1	0.054
Häger U	1	0.054
Häring T	1	0.054
Iam-on N	1	0.054
Ibnkahla M	1	0.054
Ibrahim A	1	0.054
Ibrahim AO	1	0.054
Ibrahim M	1	0.054
Ibrahim ZA	1	0.054
Ibrar A	1	0.054
Ibrar M	1	0.054
Ichikawa H	1	0.054
Idrees Z	1	0.054
Ierome S	1	0.054
Iglesias J	1	0.054
Ignjatovic M	1	0.054
Igoe DP	1	0.054
Illuri B	1	0.054
Ilyas MA	1	0.054
Ilyushin P	1	0.054
Imran	1	0.054
Imran K	1	0.054
Imran MA	1	0.054
Imura J	1	0.054
Indi B	1	0.054
Indragandhi V	1	0.054
Inga E	1	0.054
Inoue LCGV	1	0.054
Introna V	1	0.054
Inwumoh J	1	0.054
Ioppolo G	1	0.054
Iqbal A	1	0.054
Iqbal F	1	0.054
Iqbal N	1	0.054
Irshad M	1	0.054
Irshad RR	1	0.054
Isaac DF	1	0.054
Islam A	1	0.054
Islam AKMN	1	0.054
Islam FR	1	0.054
Islam MA	1	0.054
Islam MJ	1	0.054
Islam SN	1	0.054
Ismail EAA	1	0.054
Ismail K	1	0.054
Isnin IFB	1	0.054
Itankar N	1	0.054
Iturbe E	1	0.054
Iversen F	1	0.054
Izquierdo J	1	0.054
Ibargüengoytia PH	1	0.054
Imacaña FPV	1	0.054
Jaber AS	1	0.054
Jacobsen RH	1	0.054
Jadav NK	1	0.054
Jadidi Z	1	0.054
Jafari AR	1	0.054
Jagnandan N	1	0.054
Jagtap S	1	0.054
Jahnke P	1	0.054
Jahromi AN	1	0.054
Jaimes LMS	1	0.054
Jain A	1	0.054
Jain DK	1	0.054
Jain H	1	0.054
Jain M	1	0.054
Jajulwar K	1	0.054
Jakob W	1	0.054
Jakuszewski R	1	0.054
Jalalah M	1	0.054
Jambak MI	1	0.054
Jambi K	1	0.054
Jameel SM	1	0.054
James A	1	0.054
Jamil H	1	0.054
Jamil M	1	0.054
Jan N	1	0.054
Jan SU	1	0.054
Jana S	1	0.054
Janicke H	1	0.054
Jansen JJ	1	0.054
Jantsch A	1	0.054
Jap D	1	0.054
Japkowicz N	1	0.054
Jara N	1	0.054
Jaraba EH	1	0.054
Jaramillo AFM	1	0.054
Jardini JA	1	0.054
Jaroszewski M	1	0.054
Jasim AM	1	0.054
Jasim BH	1	0.054
Javadi M	1	0.054
Javaid S	1	0.054
Javed A	1	0.054
Javierre R	1	0.054
Jawad M	1	0.054
Jawhar I	1	0.054
Jay D	1	0.054
Jayachandran M	1	0.054
Jayan M	1	0.054
Jayaram A	1	0.054
Jayathilaka MSM	1	0.054
Jbene M	1	0.054
Jeffrey N	1	0.054
Jen TC	1	0.054
Jena PK	1	0.054
Jenkel L	1	0.054
Jenkins N	1	0.054
Jennehag U	1	0.054
Jensen MP	1	0.054
Jeon G	1	0.054
Jeon S	1	0.054
Jeong S	1	0.054
Jeyaraj PR	1	0.054
Ji JP	1	0.054
Ji L	1	0.054
Ji RM	1	0.054
Ji TY	1	0.054
Ji WM	1	0.054
Ji YM	1	0.054
Ji YS	1	0.054
Jia KQ	1	0.054
Jia LQ	1	0.054
Jia LR	1	0.054
Jia QN	1	0.054
Jia XH	1	0.054
Jia YF	1	0.054
Jia ZW	1	0.054
Jian X	1	0.054
Jiang C	1	0.054
Jiang DD	1	0.054
Jiang GQ	1	0.054
Jiang JG	1	0.054
Jiang JM	1	0.054
Jiang L	1	0.054
Jiang R	1	0.054
Jiang W	1	0.054
Jiang X	1	0.054
Jiang XC	1	0.054
Jiang XK	1	0.054
Jiang YC	1	0.054
Jiang ZP	1	0.054
Jiangbin Z	1	0.054
Jiao CQ	1	0.054
Jiao YT	1	0.054
Jie H	1	0.054
Jin A	1	0.054
Jin D	1	0.054
Jin GZ	1	0.054
Jin LX	1	0.054
Jin M	1	0.054
Jin Q	1	0.054
Jin QQ	1	0.054
Jin S	1	0.054
Jin W	1	0.054
Jin XH	1	0.054
Jin Y	1	0.054
Jiriwibhakorn S	1	0.054
Jiskani SM	1	0.054
Jithish J	1	0.054
Joaristi M	1	0.054
Joe IW	1	0.054
Johanning L	1	0.054
John A	1	0.054
John FD	1	0.054
Johnson P	1	0.054
Jokar P	1	0.054
Jonas S	1	0.054
Jonban MS	1	0.054
Joorabian M	1	0.054
Jose C	1	0.054
Jose D	1	0.054
Jose DT	1	0.054
Joseph A	1	0.054
Joseph AS	1	0.054
Joseph K	1	0.054
Joseph S	1	0.054
Joshi AM	1	0.054
Joshi D	1	0.054
Joshi GP	1	0.054
Joshi S	1	0.054
Jouini H	1	0.054
Jove E	1	0.054
Jufri FH	1	0.054
Jun CW	1	0.054
Junejo KN	1	0.054
Jung D	1	0.054
Jung J	1	0.054
Jung O	1	0.054
Jung SM	1	0.054
Jurado S	1	0.054
Justino GT	1	0.054
Jiménez VPG	1	0.054
Jiménez-ruano V	1	0.054
Junyent-ferré A	1	0.054
Järventausta P	1	0.054
Kaddoum G	1	0.054
Kadhim DJ	1	0.054
Kadry H	1	0.054
Kaemarungsi K	1	0.054
Kagalwalla N	1	0.054
Kahar NHA	1	0.054
Kahawala S	1	0.054
Kaiser F	1	0.054
Kaitouni SI	1	0.054
Kakhki IN	1	0.054
Kalaivani K	1	0.054
Kalavathidevi T	1	0.054
Kalbarczyk ZT	1	0.054
Kaldybayeva B	1	0.054
Kalfarisi R	1	0.054
Kaliappan S	1	0.054
Kalinin M	1	0.054
Kally J	1	0.054
Kalpana YB	1	0.054
Kama N	1	0.054
Kamalov F	1	0.054
Kamel N	1	0.054
Kamhoua CA	1	0.054
Kamil IA	1	0.054
Kamyab H	1	0.054
Kandali AB	1	0.054
Kandasamy M	1	0.054
Kandasamy NK	1	0.054
Kanfoud J	1	0.054
Kang DH	1	0.054
Kang SW	1	0.054
Kannan A	1	0.054
Kanwal S	1	0.054
Kara A	1	0.054
Karabayev N	1	0.054
Karachiwala JS	1	0.054
Karadayi B	1	0.054
Karagiannis X	1	0.054
Karami F	1	0.054
Karapidakis E	1	0.054
Karegar HK	1	0.054
Karim A	1	0.054
Karim FK	1	0.054
Karimi H	1	0.054
Karimi S	1	0.054
Karlsson D	1	0.054
Karn AL	1	0.054
Karri R	1	0.054
Karthikeyan A	1	0.054
Karuppaiah P	1	0.054
Kashyap KH	1	0.054
Kasimalla SR	1	0.054
Kasinathan P	1	0.054
Katib I	1	0.054
Katsikas S	1	0.054
Kaur A	1	0.054
Kaur D	1	0.054
Kaur G	1	0.054
Kaushal RK	1	0.054
Kavasseri R	1	0.054
Kayano PSD	1	0.054
Kayathri TL	1	0.054
Kayes ASM	1	0.054
Kaygusuz C	1	0.054
Kaynak O	1	0.054
Kazemi SM	1	0.054
Kazi F	1	0.054
Ke WL	1	0.054
Kechadi MT	1	0.054
Kekatos V	1	0.054
Keller HB	1	0.054
Kelli V	1	0.054
Kermani AY	1	0.054
Keshari A	1	0.054
Kesici M	1	0.054
Ketabi A	1	0.054
Khafaga DS	1	0.054
Khaidar M	1	0.054
Khalaf AAM	1	0.054
Khalaf M	1	0.054
Khalaf OI	1	0.054
Khalid J	1	0.054
Khalid R	1	0.054
Khalil I	1	0.054
Khalil N	1	0.054
Khan AI	1	0.054
Khan AR	1	0.054
Khan FQ	1	0.054
Khan I	1	0.054
Khan IU	1	0.054
Khan K	1	0.054
Khan M	1	0.054
Khan MF	1	0.054
Khan MK	1	0.054
Khan MR	1	0.054
Khan N	1	0.054
Khan R	1	0.054
Khan TM	1	0.054
Khan WZ	1	0.054
Khandan KL	1	0.054
Khanna K	1	0.054
Khanna P	1	0.054
Khare N	1	0.054
Khediri A	1	0.054
Khemakhem M	1	0.054
Kheradmandi M	1	0.054
Khezri R	1	0.054
Khodadadi N	1	0.054
Khodaei A	1	0.054
Khojah M	1	0.054
Kholodilo V	1	0.054
Khorami M	1	0.054
Khoshavi N	1	0.054
Khosla A	1	0.054
Khosrojerdi F	1	0.054
Khoumsi A	1	0.054
Khoury J	1	0.054
Khudher SM	1	0.054
Khurshid KS	1	0.054
Khussanov A	1	0.054
Khussanov Z	1	0.054
Khwaja AS	1	0.054
Kifayat K	1	0.054
Kim BS	1	0.054
Kim DI	1	0.054
Kim DK	1	0.054
Kim H	1	0.054
Kim HY	1	0.054
Kim KT	1	0.054
Kim MG	1	0.054
Kim MS	1	0.054
Kim SH	1	0.054
Kim SW	1	0.054
Kindl M	1	0.054
Kintzler F	1	0.054
Kiprakis A	1	0.054
Kiran	1	0.054
Kirimasthong K	1	0.054
Kirli D	1	0.054
Kirthivasan K	1	0.054
Kirubakaran K	1	0.054
Kishore S	1	0.054
Kiss I	1	0.054
Kitamura S	1	0.054
Klaar ACR	1	0.054
Klassen V	1	0.054
Klautau A	1	0.054
Kleemola J	1	0.054
Klier T	1	0.054
Klomp SR	1	0.054
Knutson T	1	0.054
Koay A	1	0.054
Koay AMY	1	0.054
Koch GG	1	0.054
Kocic D	1	0.054
Kodali K	1	0.054
Koh HNY	1	0.054
Kolarov A	1	0.054
Kolbusz J	1	0.054
Koley C	1	0.054
